EstablecimientoCodigo,EstablecimientoGlosa,RegionCodigo,RegionGlosa,ComunaCodigo,ComunaGlosa,ServicioSaludCodigo,ServicioSaludGlosa,TipoEstablecimiento,DependenciaAdministrativa,NivelAtencion,TipoUrgencia,Latitud,Longitud,NivelComplejidad,Anio,SemanaEstadistica,OrdenCausa,Causa,NumTotal,NumMenor1Anio,Num1a4Anios,Num5a14Anios,Num15a64Anios,Num65oMas,FechaAtencionTexto,SexoPaciente,PrioridadTriage,CostoAtencionCLP
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,4,Crisis asmática,175,7,20,46,90,12,09-01-2023,F,C2,75588.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,5,Insuficiencia respiratoria aguda,118,1,4,9,42,62,09.01.23,M,C1,99442.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,2,6,COVID-19 sospecha/confirmada,146,8,19,23,79,17,09-01-2023,M,C4,136350.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,1,Influenza y neumonia,193,11,15,38,79,50,09-01-2023,M,C3,93131.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,2,Infeccion respiratoria aguda alta,148,8,17,31,62,30,09.01.23,F,C4,70678.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,83,18,29,14,19,3,09.01.23,F,C1,131804.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,4,Crisis asmática,147,9,19,38,64,17,09.01.23,M,C5,128665.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,5,Insuficiencia respiratoria aguda,92,2,3,8,32,47,09-01-2023,F,C5,143933.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,2,6,COVID-19 sospecha/confirmada,138,1096,15,39,62,16,09.01.23,F,C3,79188.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,1,Influenza y neumonia,132,10,12,20,56,34,09-01-2023,F,C3,120458.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,,2023,2,2,Infeccion respiratoria aguda alta,129,12,16,21,66,14,09-01-2023,F,C5,100293.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,44,18,10,6,8,2,2023/01/09,F,C5,133770.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,4,Crisis asmática,132,7,19,40,55,11,09-01-2023,F,C4,86939.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,5,Insuficiencia respiratoria aguda,79,2,4,4,26,43,09-01-2023,F,C3,130283.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,2,6,COVID-19 sospecha/confirmada,192,9,26,43,83,31,09.01.23,M,C4,88782.0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,1,Influenza y neumonia,185,18,16,33,86,32,09.01.23,F,C5,94887.0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,2,Infeccion respiratoria aguda alta,49,4,4,9,24,8,2023/01/09,F,C4,120697.0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,3,Bronquitis/Bronquiolitis aguda,173,43,45,28,48,9,09.01.23,F,C4,101041.0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,4,Crisis asmática,204,8,32,61,78,25,09.01.23,M,C5,81823.0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,5,Insuficiencia respiratoria aguda,203,5,5,11,80,102,09-01-2023,M,C3,89603.0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,2,6,COVID-19 sospecha/confirmada,60,4,5,12,26,13,09.01.23,F,C2,126019.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,1,Influenza y neumonia,46,4,7,9,18,8,2023/01/16,M,C1,70848.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,2,Infeccion respiratoria aguda alta,132,16,17,23,62,14,16-01-2023,F,C5,62020.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,197,50,43,43,49,12,16.01.23,F,C3,132939.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,4,Crisis asmática,56,3,5,15,27,6,16.01.23,F,C2,102886.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,5,Insuficiencia respiratoria aguda,92,4,8,6,36,38,2023/01/16,M,C3,139065.0
110901,Hospital Regional de Arica Dr. Juan Noe,15,Arica y Parinacota,15101,Arica,1,Servicio de Salud Arica,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-18.4783,-70.3126,Alta Complejidad,2023,3,6,COVID-19 sospecha/confirmada,90,3,8,16,49,14,16-01-2023,M,C4,67106.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,1,Influenza y neumonia,62,8,2,7,23,22,16-01-2023,F,C2,99299.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,2,Infeccion respiratoria aguda alta,185,12,24,41,82,26,16.01.23,M,C2,51176.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,135,39,37,29,22,8,2023/01/16,F,C4,120756.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,4,Crisis asmática,146,7,18,58,48,15,16-01-2023,M,C2,108758.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,5,Insuficiencia respiratoria aguda,176,7,7,20,59,83,2023/01/16,F,C2,109907.0
130215,Hospital Dr. Gustavo Fricke,5,Valparaiso,5109,Vina del Mar,5,Servicio de Salud Vina del Mar-Quillota,Hospital,Servicio de Salud,Terciario,Hospitalaria (UEH),-33.0245,-71.5518,Alta Complejidad,2023,3,6,COVID-19 sospecha/confirmada,171,15,21,34,81,20,16-01-2023,F,C3,165868.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,1,Influenza y neumonia,109,20,18,12,35,24,16-01-2023,M,C4,98732.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,2,Infeccion respiratoria aguda alta,119,6,14,20,53,26,16-01-2023,,C3,91081.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,51,16,11,7,13,4,16-01-2023,M,C3,101638.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,4,Crisis asmática,143,10,15,35,67,16,16.01.23,M,C4,159455.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,5,Insuficiencia respiratoria aguda,92,3,5,10,30,44,16-01-2023,F,C5,105889.0
131450,SAR La Reina,13,Metropolitana,13115,La Reina,9,Servicio de Salud Metropolitano Oriente,Centro de Salud,Municipal,Primario,Ambulatoria (SAR),-33.4429,-70.5477,Baja Complejidad,2023,3,6,COVID-19 sospecha/confirmada,100,7,11,26,44,12,2023/01/16,M,C5,63755.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,3,1,Influenza y neumonia,154,12,23,20,62,37,2023/01/16,M,C3,111936.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,3,2,Infeccion respiratoria aguda alta,149,11,17,31,69,21,16-01-2023,F,C4,108504.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,3,3,Bronquitis/Bronquiolitis aguda,55,16,17,9,8,5,2023/01/16,F,C3,147737.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,3,4,Crisis asmática,88,3,6,23,48,8,16-01-2023,M,C2,67909.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,3,5,Insuficiencia respiratoria aguda,95,3,3,10,33,46,16-01-2023,F,C4,112233.0
131622,SAPU Pudahuel Sur,13,Metropolitana,13126,Pudahuel,8,Servicio de Salud Metropolitano Occidente,Centro de Salud,Municipal,Primario,Ambulatoria (SAPU),-33.4372,-70.7766,Baja Complejidad,2023,3,6,COVID-19 sospecha/confirmada,124,5,15,28,57,19,2023/01/16,M,C4,104790.0
910333,Hospital Regional de Temuco,9,La Araucania,9101,Temuco,13,Servicio de Salud Araucania Sur,Hospital,Servicio de Salud,Terciario,Urgencia Hospitalaria Especializada,-38.7397,-72.5984,Alta Complejidad,2023,3,1,Influenza y neumonia,218,20,18,31,91,58,16.01.23,F,C4,104454.0
